country,city,region,population
America,New York City,New York (state),8804190
America,Los Angeles,California,3898747
America,Chicago,Illinois,2746388
America,Houston,Texas,2304580
America,Phoenix,Arizona,1608139
America,Philadelphia,Pennsylvania,1603797
America,San Antonio,Texas,1434625
America,San Diego,California,1386932
America,Dallas,Texas,1304379
America,San Jose,California,1013240
America,Austin,Texas,961855
America,Jacksonville,Florida,949611
America,Fort Worth,Texas,918915
America,Columbus,Ohio,905748
America,Indianapolis,Indiana,887642
America,Charlotte,North Carolina,874579
America,San Francisco,California,873965
America,Seattle,Washington (state),737015
America,Denver,Colorado,715522
America,Washington,District of Columbia,689545
America,Nashville,Tennessee,689447
America,Oklahoma City,Oklahoma,681054
America,El Paso,Texas,678815
America,Boston,Massachusetts,675647
America,Portland,Oregon,652503
America,Las Vegas,Nevada,641903
America,Detroit,Michigan,639111
America,Memphis,Tennessee,633104
America,Louisville,Kentucky,633045
America,Baltimore,Maryland,585708
America,Milwaukee,Wisconsin,577222
America,Albuquerque,New Mexico,564559
America,Tucson,Arizona,542629
America,Fresno,California,542107
America,Sacramento,California,524943
America,Kansas City,Missouri,508090
America,Mesa,Arizona,504258
America,Atlanta,Georgia (U.S. state),498715
America,Omaha,Nebraska,486051
America,Colorado Springs,Colorado,478961
America,Raleigh,North Carolina,467665
America,Long Beach,California,466742
America,Virginia Beach,Virginia,459470
America,Miami,Florida,442241
America,Oakland,California,440646
America,Minneapolis,Minnesota,429954
America,Tulsa,Oklahoma,413066
America,Bakersfield,California,403455
America,Wichita,Kansas,397532
America,Arlington,Texas,394266
America,Aurora,Colorado,386261
America,Tampa,Florida,384959
America,New Orleans,Louisiana,383997
America,Cleveland,Ohio,372624
America,Honolulu,Hawaii,350964
America,Anaheim,California,346824
America,Lexington,Kentucky,322570
America,Stockton,California,320804
America,Corpus Christi,Texas,317863
America,Henderson,Nevada,317610
America,Riverside,California,314998
America,Newark,New Jersey,311549
America,Saint Paul,Minnesota,311527
America,Santa Ana,California,310227
America,Cincinnati,Ohio,309317
America,Irvine,California,307670
America,Orlando,Florida,307573
America,Pittsburgh,Pennsylvania,302971
America,St. Louis,Missouri,301578
America,Greensboro,North Carolina,299035
America,Jersey City,New Jersey,292449
America,Anchorage,Alaska,291247
America,Lincoln,Nebraska,291082
America,Plano,Texas,285494
America,Durham,North Carolina,283506
America,Buffalo,New York (state),278349
America,Chandler,Arizona,275987
America,Chula Vista,California,275487
America,Toledo,Ohio,270871
America,Madison,Wisconsin,269840
America,Gilbert,Arizona,267918
America,Reno,Nevada,264165
America,Fort Wayne,Indiana,263886
America,North Las Vegas,Nevada,262527
America,St. Petersburg,Florida,258308
America,Lubbock,Texas,257141
America,Irving,Texas,256684
America,Laredo,Texas,255205
America,Winston-Salem,North Carolina,249545
America,Chesapeake,Virginia,249422
America,Glendale,Arizona,248325
America,Garland,Texas,246018
America,Scottsdale,Arizona,241361
America,Norfolk,Virginia,238005
America,Boise,Idaho,235684
America,Fremont,California,230504
America,Spokane,Washington (state),228989
America,Santa Clarita,California,228673
America,Baton Rouge,Louisiana,227470
America,Richmond,Virginia,226610
America,Hialeah,Florida,223109
America,San Bernardino,California,222101
America,Tacoma,Washington (state),219346
America,Modesto,California,218464
America,Huntsville,Alabama,215006
America,Des Moines,Iowa,214133
America,Yonkers,New York (state),211569
America,Rochester,New York (state),211328
America,Moreno Valley,California,208634
America,Fayetteville,North Carolina,208501
America,Fontana,California,208393
America,Columbus,Georgia (U.S. state),206922
America,Worcester,Massachusetts,206518
America,Port St. Lucie,Florida,204851
America,Little Rock,Arkansas,202591
America,Augusta,Georgia (U.S. state),202081
America,Oxnard,California,202063
America,Birmingham,Alabama,200733
America,Montgomery,Alabama,200603
America,Frisco,Texas,200509
America,Amarillo,Texas,200393
America,Salt Lake City,Utah,199723
America,Grand Rapids,Michigan,198917
America,Huntington Beach,California,198711
America,Overland Park,Kansas,197238
America,Glendale,California,196543
America,Tallahassee,Florida,196169
America,Grand Prairie,Texas,196100
America,McKinney,Texas,195308
America,Cape Coral,Florida,194016
America,Sioux Falls,South Dakota,192517
America,Peoria,Arizona,190985
America,Providence,Rhode Island,190934
America,Vancouver,Washington (state),190915
America,Knoxville,Tennessee,190740
America,Akron,Ohio,190469
America,Shreveport,Louisiana,187593
America,Mobile,Alabama,187041
America,Brownsville,Texas,186738
America,Newport News,Virginia,186247
America,Fort Lauderdale,Florida,182760
America,Chattanooga,Tennessee,181099
America,Tempe,Arizona,180587
America,Aurora,Illinois,180542
America,Santa Rosa,California,178127
America,Eugene,Oregon,176654
America,Elk Grove,California,176124
America,Salem,Oregon,175535
America,Ontario,California,175265
America,Cary,North Carolina,174721
America,Rancho Cucamonga,California,174453
America,Oceanside,California,174068
America,Lancaster,California,173516
America,Garden Grove,California,171949
America,Pembroke Pines,Florida,171178
America,Fort Collins,Colorado,169810
America,Palmdale,California,169450
America,Springfield,Missouri,169176
America,Clarksville,Tennessee,166722
America,Salinas,California,163542
America,Hayward,California,162954
America,Paterson,New Jersey,159732
America,Alexandria,Virginia,159467
America,Macon,Georgia (U.S. state),157346
America,Corona,California,157136
America,Kansas City,Kansas,156607
America,Lakewood,Colorado,155984
America,Springfield,Massachusetts,155929
America,Sunnyvale,California,155805
America,Jackson,Mississippi,153701
America,Killeen,Texas,153095
America,Hollywood,Florida,153067
America,Murfreesboro,Tennessee,152769
America,Pasadena,Texas,151950
America,Bellevue,Washington (state),151854
America,Pomona,California,151713
America,Escondido,California,151038
America,Joliet,Illinois,150362
America,Charleston,South Carolina,150227
